"","Year","Country","CountryCode","StudentProtestCount","AllProtestCount","Control of Corruption: Estimate","Government Effectiveness: Estimate","Political Stability and Absence of Violence/Terrorism: Estimate","Political Stability and Absence of Violence/Terrorism: Estimate.1"
"170",2018,"Australia","AS",3,9094,"1.805214","1.595232","0.989604","1.715382"
"171",2018,"Bahamas","BF",1,283,NA,NA,NA,NA
"172",2018,"Bangladesh","BG",220,7227,"-0.8999589","-0.7402487","-0.9956784","-0.6409807"
"173",2018,"Canada","CA",2,12408,"1.827885","1.714916","0.9791259","1.756561"
"174",2018,"Chile","CI",1,4076,"1.039679","1.07547","0.4273602","1.091852"
"175",2018,"China","CH",3,15862,"-0.2679587","0.4792704","-0.3000233","-0.2028825"
"176",2018,"Colombia","CO",2,4603,"-0.2857142","-0.0860052","-0.7969317","-0.4062347"
"177",2018,"Czechia","EZ",3,3007,NA,NA,NA,NA
"178",2018,"Ethiopia","ET",2,2465,"-0.4833753","-0.6104851","-1.279617","-0.428142"
"179",2018,"France","FR",8,27317,"1.317642","1.458658","0.0291557","1.434449"
"180",2018,"Germany","GM",2,17390,"1.936917","1.562705","0.5912753","1.631583"
"181",2018,"Ghana","GH",2,2624,"-0.1214553","-0.2085409","-0.0255168","0.0730976"
"182",2018,"Greece","GR",2,12021,"-0.0252081","0.2907973","0.1659438","0.13928"
"183",2018,"India","IN",207,56339,"-0.1834787","0.2842539","-0.9870132","0.0256504"
"184",2018,"Indonesia","ID",1,5203,"-0.2497392","0.1805828","-0.5459081","-0.315493"
"185",2018,"Ireland","EI",2,4974,"1.571588","1.416743","1.021112","1.450442"
"186",2018,"Italy","IT",1,13226,"0.2476841","0.4415723","0.3423838","0.2688292"
"187",2018,"Jamaica","JM",1,390,"-0.1802417","0.5039046","0.432927","-0.2317268"
"188",2018,"Japan","JA",1,5128,"1.425326","1.674601","1.049072","1.53421"
"189",2018,"Kazakhstan","KZ",1,713,"-0.4953896","0.0217261","-0.0452636","-0.4295568"
"190",2018,"Kenya","KE",6,3250,"-0.8510734","-0.4115029","-1.184091","-0.411006"
"191",2018,"Kuwait","KU",1,908,"-0.2882378","-0.0900602","0.1015981","0.210846"
"192",2018,"Liberia","LI",1,460,"-0.849687","-1.33557","-0.2117113","-0.9896947"
"193",2018,"Malawi","MI",1,777,"-0.7400823","-0.7272929","-0.4323802","-0.3782848"
"194",2018,"Malaysia","MY",1,2398,"0.3161213","1.075026","0.2515688","0.6233432"
"195",2018,"Mexico","MX",3,15256,"-0.8548902","-0.1576219","-0.648208","-0.6365064"
"196",2018,"Myanmar (Burma)","BM",2,1243,NA,NA,NA,NA
"197",2018,"Nepal","NP",4,1640,"-0.6708352","-0.8982426","-0.5617288","-0.4775418"
"198",2018,"Netherlands","NL",3,3316,"1.927847","1.850402","0.8542672","1.786829"
"199",2018,"Nicaragua","NU",8,12634,"-1.08738","-0.8029793","-0.9523925","-1.057517"
