"","Year","Country","X","CountryCode","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income"
"241",2019,"Iraq",241,"IZ",4,14380,-1.336654,-1.336643,-2.603781,-1.722623,"4553.573"
"242",2019,"Ireland",242,"EI",2,6035,1.494599,1.291792,0.9663891,1.383474,"43085.8"
"243",2019,"Israel",243,"IS",10,25288,0.8063501,1.325325,-0.7933716,1.047764,"38005.3"
"244",2019,"Italy",244,"IT",1,11804,0.2645699,0.4831744,0.4043851,0.3032814,"28026.55"
"245",2019,"Kenya",245,"KE",8,2657,-0.7865493,-0.3833902,-1.101751,-0.4542259,"1564.272"
"246",2019,"Kuwait",246,"KU",2,501,-0.1321924,0.0182124,0.1926405,0.2156609,NA
"247",2019,"Liberia",247,"LI",5,604,-0.8906205,-1.374943,-0.3314337,-0.9952623,"355.047"
"248",2019,"Malawi",248,"MI",2,1632,-0.7845694,-0.7496988,-0.2801754,-0.3310178,"516.6208"
"249",2019,"Malaysia",249,"MY",1,2002,0.2520592,0.9974676,0.1438768,0.5916137,"8047.001"
"250",2019,"Mexico",250,"MX",2,13007,-0.8269345,-0.156787,-0.8369034,-0.6580054,"7730.323"
"251",2019,"Morocco",251,"MO",1,2049,-0.2890898,-0.1194802,-0.3398933,-0.1353823,"2844.48"
"252",2019,"Netherlands",252,"NL",2,3110,1.906103,1.803272,0.8475496,1.77776,"43978.41"
"253",2019,"New Zealand",253,"NZ",3,2922,2.170174,1.670557,1.411302,1.885101,"35407.29"
"254",2019,"Nigeria",254,"NI",39,13681,-1.101318,-1.088863,-1.920183,-0.8980616,"1834.163"
"255",2019,"North Korea",255,"KN",2,1178,NA,NA,NA,NA,NA
"256",2019,"Norway",256,"NO",1,1879,2.073593,1.861935,1.170565,1.9853,"60023.61"
"257",2019,"Pakistan",257,"PK",22,17629,-0.8666273,-0.6771356,-2.265187,-0.6674315,"1187.632"
"258",2019,"Philippines",258,"RP",1,4072,-0.5730505,0.0520084,-0.9151124,-0.4769835,"3483.276"
