"","Year","Country","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income","protest.ratio"
"79",2016,"Sierra Leone",9,330,-0.8189905,-1.170724,-0.1599265,-0.7775531,367.0428,0.0272727272727273
"80",2016,"South Africa",498,15266,0.1184792,0.3061665,-0.141504,0.1161583,4705.765,0.0326215118564129
"81",2016,"Sri Lanka",3,2938,-0.3106176,-0.0263917,-0.0040295,0.1105179,3511.296,0.0010211027910143
"82",2016,"Sudan",5,4114,-1.525485,-1.515171,-2.337218,-1.258443,950.3749,0.00121536217792902
"83",2016,"Sweden",5,6633,2.152424,1.699182,1.017941,1.993451,43645.7,0.000753806723955978
"84",2016,"Switzerland",5,4670,1.98834,2.008059,1.30629,1.947713,64490.41,0.00107066381156317
"85",2016,"Thailand",2,2459,-0.3888684,0.3417524,-0.9885814,-0.0049648,4629.461,0.000813338755591704
"86",2016,"Uganda",1,2507,-1.05659,-0.5713909,-0.7153227,-0.2512983,554.8666,0.000398883127243718
"87",2016,"United States",61,222943,1.373549,1.47634,0.4023029,1.618124,49493.65,0.00027361253773386
"88",2016,"Vietnam",2,3665,-0.452351,0.0194756,0.2335919,0.0752823,1725.75,0.000545702592087312
"89",2016,"Zambia",2,1082,-0.401749,-0.6601837,0.142808,-0.3005686,1017.512,0.00184842883548983
"90",2016,"Zimbabwe",11,6623,-1.259222,-1.158399,-0.6199379,-1.368501,1257.988,0.00166087875585082
"91",2017,"Afghanistan",8,4963,-1.515626,-1.325545,-2.801084,-1.562423,486.0025,0.00161192826919202
"92",2017,"Armenia",11,2292,-0.5633132,-0.1026952,-0.6207712,-0.1606279,3514.683,0.00479930191972077
"93",2017,"Australia",1,10215,1.798351,1.538219,0.8960608,1.686461,41988.7,9.78952520802741e-05
"94",2017,"Bangladesh",29,5972,-0.8317032,-0.7350984,-1.256081,-0.6718881,1490.43,0.00485599464166109
"95",2017,"Belarus",1,4205,-0.2574071,-0.3413015,-0.0534834,-0.8187015,4752.093,0.000237812128418549
"96",2017,"Belgium",6,5183,1.447792,1.278846,0.4281858,1.358459,36236.86,0.00115763071580166
"97",2017,"Cambodia",1,909,-1.289828,-0.659631,0.091222,-1.053886,1161.816,0.0011001100110011
"98",2017,"Chile",1,4223,1.106465,0.9961624,0.4171355,1.149239,11759.33,0.000236798484489699
"99",2017,"China",9,17449,-0.27085,0.4137717,-0.2310181,-0.2667109,6714.582,0.000515788870422374
"100",2017,"Denmark",1,1317,2.23999,1.787519,0.8684149,1.847278,49141.54,0.000759301442672741
"101",2017,"Ethiopia",2,1505,-0.5587956,-0.6928545,-1.679859,-0.4559003,612.8764,0.00132890365448505
"102",2017,"France",2,24394,1.266991,1.348091,0.2790776,1.436407,32622.01,8.19873739444126e-05
"103",2017,"Germany",1,19962,1.843528,1.65318,0.5877215,1.614979,37673.76,5.00951808436028e-05
"104",2017,"Guinea",6,1042,-1.012782,-1.034547,-0.7009969,-1.226821,685.6423,0.00575815738963532
"105",2017,"India",231,55092,-0.2419506,0.0868715,-0.7648019,-0.0012233,1733.802,0.00419298627749946
"106",2017,"Ireland",1,5135,1.573725,1.306135,1.002435,1.418789,38274.42,0.000194741966893866
"107",2017,"Italy",2,12574,0.2109731,0.527819,0.3068212,0.3488251,26826.7,0.000159058374423413
"108",2017,"Jamaica",1,597,-0.1753761,0.4723314,0.3092474,-0.161473,4539.777,0.0016750418760469
"109",2017,"Liberia",1,461,-0.6652668,-1.334823,-0.333085,-0.949563,359.1917,0.00216919739696312
"110",2017,"Malawi",2,638,-0.6589844,-0.6580487,-0.251164,-0.3730442,425.8584,0.00313479623824451
"111",2017,"Malaysia",2,2818,0.0590311,0.8348417,0.1164103,0.4976971,7220.784,0.0007097232079489
"112",2017,"Mexico",2,20455,-0.8388868,0.0510241,-0.7974465,-0.5586059,7289.786,9.77756049865559e-05
"113",2017,"Montenegro",1,350,-0.090844,0.1672547,-0.0577443,0.0051818,7162.907,0.00285714285714286
"114",2017,"Morocco",1,5330,-0.1428196,-0.1932489,-0.3739875,-0.1665348,2663.706,0.000187617260787992
"115",2017,"Netherlands",3,5531,1.791991,1.854931,0.9211125,1.801337,40814.19,0.000542397396492497
"116",2017,"Niger",2,494,-0.6648608,-0.7034824,-1.265764,-0.6820633,515.6837,0.00404858299595142
"117",2017,"Nigeria",55,16155,-1.078973,-1.01082,-1.999155,-0.8708053,1660.264,0.00340451872485299
"118",2017,"Pakistan",65,18800,-0.779681,-0.596828,-2.406306,-0.7241798,1361.672,0.00345744680851064
"119",2017,"Poland",18,7521,0.7294688,0.5678334,0.5183783,0.4414217,11678.79,0.00239329876346231
"120",2017,"Rwanda",1,578,0.6268088,0.2621303,0.0880958,0.1211631,609.8843,0.00173010380622837
"121",2017,"Sierra Leone",1,376,-0.5674595,-1.170156,-0.0358612,-0.7814531,407.5622,0.00265957446808511
"122",2017,"South Africa",64,13943,-0.0263975,0.2908573,-0.2775617,-0.0425192,5495.551,0.00459011690453991
"123",2017,"Spain",1,21587,0.5475208,1.038661,0.2828842,1.059366,23801.74,4.63241765877611e-05
"124",2017,"Sri Lanka",6,2900,-0.4532179,-0.1512185,-0.0711655,0.0484503,3669.092,0.00206896551724138
"125",2017,"Sudan",3,2652,-1.528241,-1.42955,-1.97747,-1.106437,879.123,0.00113122171945701
"126",2017,"Tunisia",1,3185,-0.1285137,-0.0985326,-1.024682,0.0586774,3406.674,0.000313971742543171
"127",2017,"Uganda",1,1444,-1.041349,-0.5780125,-0.5716293,-0.2994136,573.2804,0.000692520775623269
"128",2017,"Ukraine",1,23382,-0.7848897,-0.4571084,-1.870538,-0.7120072,2351.392,4.2767941151313e-05
"129",2017,"United States",64,201579,1.384251,1.557018,0.2918175,1.649322,51488.34,0.00031749338968841
"130",2017,"Vietnam",2,2752,-0.5843227,0.0056701,0.2302038,0.0623794,1856.224,0.000726744186046512
"131",2017,"Zimbabwe",3,3801,-1.271278,-1.182262,-0.7087693,-1.373646,1050.11,0.000789265982636148
"132",2018,"Afghanistan",1,4263,-1.487624,-1.453096,-2.763864,-1.664038,452.4921,0.000234576589256392
"133",2018,"Armenia",8,6197,-0.3475996,-0.0284142,-0.4449081,-0.1494592,3709.675,0.00129094723253187
"134",2018,"Australia",3,9094,1.805214,1.595232,0.989604,1.715382,43950.43,0.000329887838135034
"135",2018,"Bangladesh",220,7227,-0.8999589,-0.7402487,-0.9956784,-0.6409807,1629.107,0.030441400304414
"136",2018,"Canada",2,12408,1.827885,1.714916,0.9791259,1.756561,37636.5,0.000161186331399097
"137",2018,"Chile",1,4076,1.039679,1.07547,0.4273602,1.091852,12152.17,0.000245338567222767
"138",2018,"China",3,15862,-0.2679587,0.4792704,-0.3000233,-0.2028825,7378.311,0.000189131257092422
"139",2018,"Colombia",2,4603,-0.2857142,-0.0860052,-0.7969317,-0.4062347,5519.415,0.000434499239626331
"140",2018,"Ethiopia",2,2465,-0.4833753,-0.6104851,-1.279617,-0.428142,649.8547,0.000811359026369168
"141",2018,"France",8,27317,1.317642,1.458658,0.0291557,1.434449,34902.13,0.00029285792729802
"142",2018,"Germany",2,17390,1.936917,1.562705,0.5912753,1.631583,40745.05,0.000115008625646924
"143",2018,"Ghana",2,2624,-0.1214553,-0.2085409,-0.0255168,0.0730976,1745.215,0.00076219512195122
"144",2018,"Greece",2,12021,-0.0252081,0.2907973,0.1659438,0.13928,16528.65,0.000166375509524998
"145",2018,"India",207,56339,-0.1834787,0.2842539,-0.9870132,0.0256504,1742.515,0.0036741866202808
"146",2018,"Indonesia",1,5203,-0.2497392,0.1805828,-0.5459081,-0.315493,3079.532,0.000192196809532962
"147",2018,"Ireland",2,4974,1.571588,1.416743,1.021112,1.450442,42179.3,0.000402090872537193
"148",2018,"Italy",1,13226,0.2476841,0.4415723,0.3423838,0.2688292,28814.12,7.56086496295176e-05
"149",2018,"Jamaica",1,390,-0.1802417,0.5039046,0.432927,-0.2317268,4753.219,0.00256410256410256
"150",2018,"Japan",1,5128,1.425326,1.674601,1.049072,1.53421,31069.86,0.000195007800312012
"151",2018,"Kazakhstan",1,713,-0.4953896,0.0217261,-0.0452636,-0.4295568,6571.297,0.00140252454417952
"152",2018,"Kenya",6,3250,-0.8510734,-0.4115029,-1.184091,-0.411006,1478.424,0.00184615384615385
"153",2018,"Liberia",1,460,-0.849687,-1.33557,-0.2117113,-0.9896947,398.2174,0.00217391304347826
"154",2018,"Malawi",1,777,-0.7400823,-0.7272929,-0.4323802,-0.3782848,466.4554,0.00128700128700129
"155",2018,"Malaysia",1,2398,0.3161213,1.075026,0.2515688,0.6233432,7796.236,0.000417014178482068
"156",2018,"Mexico",3,15256,-0.8548902,-0.1576219,-0.648208,-0.6365064,7527.491,0.000196643943366544
"157",2018,"Nepal",4,1640,-0.6708352,-0.8982426,-0.5617288,-0.4775418,1109.422,0.0024390243902439
"158",2018,"Netherlands",3,3316,1.927847,1.850402,0.8542672,1.786829,44714.3,0.000904704463208685
"159",2018,"Nicaragua",8,12634,-1.08738,-0.8029793,-0.9523925,-1.057517,1727.631,0.00063321196770619
